TLMP1104;Circuits électriques et électroniques
TLMP1204;Electricité
TLMP1304;Analyse 1
TLMP1404;Algèbre 1
TLMP1504;Algorithmique et Programmation 1
TLMP1604;LC 1
TLMP2104;Thermodynamique
TLMP2204;Mécanique du point et Optique géométrique
TLMP2304;Analyse 2
TLMP2404;Algèbre 2
TLMP2504;Structure de la matière
TLMP2604;LC 2
TLMP3104;Electromagnétisme
TLMP3204;Analyse 3
TLMP3304;Statistique descriptive/probabilités
TLMP3404;Algorithmique et Programmation 2
TLMP3504;Réactivité chimique
TLMP3604;LC 3
TLMP4104;Mécanique des Solides
TLMP4204;Mécanique quantique et Relativité
TLMP4304;Analyse 4
TLMP4404;Structure de données en C
TLMP4504;Chimie Organique 1
TLMP4604;Chimie Minérale 1
TLBC1104;Biologie cellulaire
TLBC1204;Optique et Radioactivité
TLBC1304;Cosmologie & Géodynamique interne
TLBC1404;Structure de la matière
TLBC1504;Algèbre
TLBC1604;LC1
TLBC2104;Biologie animale
TLBC2204;Thermodynamique / Mécanique des fluides
TLBC2304;Géodynamique externe
TLBC2404;Réactivité chimique
TLBC2504;Analyse
TLBC2604;Langues et Communications 2
TLBC3104;Biologie végétale
TLBC3204;Electricité
TLBC3304;Stratigraphie & Paléo-environnement
TLBC3404;Chimie Organique 1
TLBC3504;Chimie Minérale 1
TLBC3604;Probabilités/ Statistiques
TLBC4104;Biochimie structurale
TLBC4204;Microbiologie
TLBC4304;Chim. Org.2 / Min. 2
TLBC4404;Biochimie métabolique
TLBC4504;Bases De Données
TLBC4604;Langues et Communications 3
TLGE1104;Circuits électriques et électroniques
TLGE1204;Electricité
TLGE1304;Analyse 1
TLGE1404;Algèbre 1
TLGE1504;Algorithmique et Programmation 1
TLGE1604;LC1
TLGE2104;Thermodynamique
TLGE2204;Mécanique du point et Optique géométrique
TLGE2304;Analyse 2
TLGE2404;Algèbre 2
TLGE2504;Structure de la matière
TLGE2604;LC2
TLGE3104;Mécanique des Solides
TLGE3204;Electronique
TLGE3304;Statistique descriptive/probabilités
TLGE3404;Algorithmique et Programmation 2
TLGE3504;Métrologie et instrumentation
TLGE3604;Gestion
TLGE4104;Electrotechnique
TLGE4204;Automatique
TLGE4304;Fabrication
TLGE4404;Construction mécanique
TLGE4504;Informatique 3
TLGE4604;Analyse numérique
